Species,Genus,SpeciesPurvis,GenusPurvis,Taxon,Great ape,Innovation,Tool use,Extractive foraging,Social learning,Innovation (Reduced),Tool use (Reduced),Extractive foraging (Reduced),Journal Search Article Count,Zoological Record Article Count,Journal reports (2002 dataset),Innovation (2002 dataset),Social learning  (2002 dataset),Tool use (2002 dataset),
Euoticus elegantulus,Euoticus,Euoticus elegantulus,Euoticus,Prosimian,No,0,0,0,0,0,0,0,1,1,1,0,0,0,
Euoticus inustus,Euoticus,Euoticus inustus,Euoticus,Prosimian,No,0,0,0,0,0,0,0,,0,,,,,
Galago alleni,Galago,Galago alleni,Galago,Prosimian,No,0,0,0,0,0,0,0,1,2,1,0,0,0,
Galago granti,Galago,Galago granti,Galago,Prosimian,No,0,0,0,0,0,0,0,,0,,,,,
Galago moholi,Galago,Galago moholi,Galago,Prosimian,No,0,0,0,0,0,0,0,7,14,2,0,0,0,
Galago senegalensis,Galago,Galago senegalensis,Galago,Prosimian,No,0,0,0,0,0,0,0,3,20,1,0,0,0,
Galagoides demidoff,Galagoides,Galagoides demidoff,Galagoides,Prosimian,No,0,0,0,0,0,0,0,2,5,1,0,0,0,
Galagoides thomasi,Galagoides,Galagoides thomasi,Galagoides,Prosimian,No,0,0,0,0,0,0,0,1,,,,,,
Galagoides zanzibaricus,Galagoides,Galagoides zanzibaricus,Galagoides,Prosimian,No,0,0,0,0,0,0,0,,0,,,,,
Hapalemur aureus,Hapalemur,Hapalemur aureus,Hapalemur,Prosimian,No,0,0,0,0,0,0,0,,5,,,,,
Hapalemur griseus,Hapalemur,Hapalemur griseus,Hapalemur,Prosimian,No,0,0,0,0,0,0,0,11,40,4,0,0,0,
Hapalemur simus,Hapalemur,Hapalemur simus,Hapalemur,Prosimian,No,0,0,0,0,0,0,0,3,8,2,0,0,0,
Hylobates agilis,Hylobates,Hylobates agilis,Hylobates,Simian,No,0,0,0,0,0,0,0,2,16,2,0,0,0,
Hylobates concolor,Hylobates,Hylobates concolor,Hylobates,Simian,No,0,0,0,0,0,0,0,7,21,4,1,0,0,
